close,trend
184.53208923339844,stable
183.150390625,down
180.8243408203125,down
180.0987091064453,down
184.4525604248047,up
184.0350799560547,down
185.0788116455078,up
184.4823760986328,down
184.81040954589844,up
182.53407287597656,down
181.58975219726562,down
187.50424194335938,up
190.416748046875,up
192.73284912109375,up
194.01513671875,up
193.33920288085938,down
193.01116943359375,down
191.2716064453125,down
190.5857391357422,down
186.91775512695312,down
183.2994842529297,down
185.74481201171875,up
184.74082946777344,down
186.55990600585938,up
188.17025756835938,up
188.2795867919922,up
187.1961212158203,down
187.9624786376953,up
186.27044677734375,down
184.1703643798828,down
183.28456115722656,down
182.9959259033203,down
181.45318603515625,down
180.7067108154297,down
181.4631805419922,up
183.50352478027344,up
181.66221618652344,down
180.30860900878906,down
181.77169799804688,up
180.56739807128906,down
179.90054321289062,down
178.815673828125,down
174.27711486816406,down
169.32049560546875,down
168.32518005371094,down
168.20574951171875,down
169.92762756347656,up
171.93814086914062,up
172.41586303710938,up
170.3257598876953,down
172.1869659423828,up
171.80873107910156,down
172.90357971191406,up
175.2524871826172,up
177.83030700683594,up
170.56460571289062,down
171.47035217285156,up
170.0470733642578,down
168.9124298095703,down
172.49549865722656,up
170.67408752441406,down
169.23092651367188,down
168.0465087890625,down
168.85269165039062,up
168.026611328125,down
168.78305053710938,up
167.65835571289062,down
168.87261962890625,up
166.99148559570312,down
174.2173614501953,up
175.72027587890625,up
171.87841796875,down
168.583984375,down
167.21044921875,down
166.2549591064453,down
164.22454833984375,down
165.0606231689453,up
166.11561584472656,up
168.22567749023438,up
169.09156799316406,up
168.5043487548828,down
172.6846160888672,up
169.52951049804688,down
168.5043487548828,down
172.21682739257812,up
182.51817321777344,up
180.85604858398438,down
181.54278564453125,up
181.8811798095703,up
183.70260620117188,up
182.4368438720703,down
185.65602111816406,up
186.8021697998047,up
189.0845184326172,up
189.2041015625,up
189.23399353027344,up
190.40008544921875,up
191.70570373535156,up
190.2605438232422,down
186.25401306152344,down
189.3436279296875,up
189.3535919189453,up
189.652587890625,up
190.6492462158203,up
191.60601806640625,up
193.38006591796875,up
193.69900512695312,up
195.21389770507812,up
193.82855224609375,down
196.23046875,up
192.47311401367188,down
206.4561004638672,up
212.35629272460938,up
213.5223846435547,up
211.7782440185547,down
215.94422912597656,up
213.5721893310547,down
208.97764587402344,down
206.79498291015625,down
207.4427947998047,up
208.36968994140625,up
212.5356903076172,up
213.38284301757812,up
209.9144744873047,down
216.02395629882812,up
219.53216552734375,up
220.80787658691406,up
225.5818328857422,up
227.056884765625,up
227.9139862060547,up
232.1995849609375,up
226.80772399902344,down
229.76776123046875,up
233.61483764648438,up
234.03343200683594,up
228.1133270263672,down
223.42906188964844,down
223.55862426757812,up
223.20982360839844,down
224.25628662109375,up
217.80796813964844,down
216.76148986816406,down
217.22991943359375,up
217.50897216796875,up
218.0670928955078,up
221.3361053466797,up
217.62855529785156,down
219.12355041503906,up
208.56903076171875,down
206.53585815429688,down
209.11717224121094,up
212.59548950195312,up
215.51568603515625,up
217.0522918701172,up
220.78407287597656,up
221.23309326171875,up
224.22650146484375,up
225.5535888671875,up
225.39393615722656,down
226.0125732421875,up
225.90280151367188,down
224.03692626953125,down
226.3418426513672,up
226.68109130859375,up
227.5292205810547,up
225.99261474609375,down
229.28536987304688,up
228.49710083007812,down
222.28077697753906,down
220.36500549316406,down
221.89163208007812,up
220.3350830078125,down
220.42486572265625,up
219.6266326904297,down
222.1710205078125,up
222.28077697753906,up
222.01138305664062,down
215.84495544433594,down
216.31390380859375,up
220.20535278320312,up
228.3673858642578,up
227.6988525390625,down
225.97265625,down
226.8706817626953,up
225.8728790283203,down
227.02035522460938,up
227.2897491455078,up
232.4883270263672,up
225.71324157714844,down
226.281982421875,up
225.17440795898438,down
226.30194091796875,up
221.20315551757812,down
225.27420043945312,up
229.03591918945312,up
228.53701782226562,down
227.05029296875,down
230.79205322265625,up
233.33645629882812,up
231.27099609375,down
231.6401824951172,up
234.48391723632812,up
235.96067810058594,up
235.342041015625,down
230.25323486328125,down
230.0636749267578,down
230.9018096923828,up
232.88743591308594,up
233.15684509277344,up
229.5946807861328,down
225.4138946533203,down
222.42047119140625,down
221.52244567871094,down
222.95928955078125,up
222.23089599609375,down
226.98043823242188,up
226.7107391357422,down
223.98373413085938,down
223.98373413085938,stable
224.8727569580078,up
227.9693603515625,up
224.7528839111328,down
227.7695770263672,up
228.02928161621094,up
228.7484893798828,up
228.26902770996094,down
229.61753845214844,up
232.61424255371094,up
234.8018341064453,up
234.67198181152344,down
237.06935119628906,up
239.3268585205078,up
242.3834991455078,up
242.74310302734375,up
242.7730712890625,up
242.5732879638672,down
246.47900390625,up
247.4978790283203,up
246.2192840576172,down
247.68768310546875,up
247.85748291015625,up
250.7642822265625,up
253.20159912109375,up
247.77757263183594,down
249.51565551757812,up
254.21051025390625,up
254.98965454101562,up
257.91644287109375,up
258.7355041503906,up
255.30929565429688,down
251.9230194091797,down
250.1449737548828,down
