date,sentiment_score
2024-08-04,-0.6856925
2024-08-03,-0.8262734
2024-08-02,-0.4490304
2024-08-01,-0.190646
2024-07-31,-0.60514265
2024-07-30,-0.8642149
2024-07-29,-0.72476923
2024-07-28,0.004682994
2024-07-27,-0.6969555
2024-07-26,-0.69017744
2024-07-25,-0.78196895
2024-07-24,-0.9012124
2024-07-23,-0.6958982
2024-07-22,-0.40653318
2024-07-21,0.053244196
2024-07-20,-0.9949376
2024-07-19,-0.495575
2024-07-18,-0.5795791
2024-07-17,-0.78227854
2024-07-16,-0.80551994
2024-07-15,-0.8995059
2024-07-14,-0.5989078
2024-07-13,-0.7523359
2024-07-12,-0.53549814
2024-07-11,-0.99761647
2024-07-10,-0.80362684
2024-07-09,-0.74447453
2024-07-08,-0.5905115
2024-07-07,-0.5534146
2024-07-06,-0.42302683
2024-07-05,-0.54470915
2024-07-04,-0.55637795
2024-07-03,-0.48547307
2024-07-02,-0.4025558
2024-07-01,-0.64248943
2024-06-30,-0.99434537
2024-06-29,-0.50734264
2024-06-28,-0.32167646
2024-06-27,-0.73828083
2024-06-26,-0.29692906
2024-06-25,-0.147832
2024-06-24,-0.25410873
2024-06-23,-0.9568308
2024-06-22,-0.46733007
2024-06-21,-0.77852094
2024-06-20,-0.9469762
2024-06-19,-0.64333856
2024-06-18,-0.13093133
2024-06-17,-0.88070905
2024-06-16,-0.8138965
2024-06-15,-0.48050153
2024-06-14,-0.48755708
2024-06-13,-0.8018414
2024-06-12,-0.7527136
2024-06-11,-0.5394272
2024-06-10,-0.7325629
2024-06-09,-0.5676756
2024-06-08,-0.826744
2024-06-07,-0.83404845
2024-06-06,-0.74918306
2024-06-05,-0.6587271
2024-06-04,-0.9122592
2024-06-03,-0.9929899
2024-06-02,-0.7278038
2024-06-01,-0.7980193
2024-05-31,-0.7630741
2024-05-30,-0.7426851
2024-05-29,-0.96904963
2024-05-28,-0.64347446
2024-05-27,-0.89968365
2024-05-26,-0.79944533
2024-05-25,-0.6018264
2024-05-24,-0.35324052
2024-05-23,-0.8064375
2024-05-22,-0.6951393
2024-05-21,-0.6140269
2024-05-20,-0.7048101
2024-05-19,-0.52208334
2024-05-18,-0.5123064
2024-05-17,-0.6953097
2024-05-16,-0.20347615
2024-05-15,-0.5387877
2024-05-14,-0.59610873
2024-05-13,-0.42247087
2024-05-12,-0.39094728
2024-05-11,-0.94250935
2024-05-10,-0.3990577
2024-05-09,-0.48108682
2024-05-08,-0.59960735
2024-05-07,-0.7980403
2024-05-06,-0.6596354
2024-05-05,-0.6782715
2024-05-04,-0.031493556
2024-05-03,-0.0818023
2024-05-02,0.0045240475
2024-05-01,-0.5842527
2024-04-30,-0.8998041
2024-04-29,-0.6785079
2024-04-28,-0.106534615
2024-04-27,-0.8018781
2024-04-26,-0.89962137
2024-04-25,-0.5002185
2024-04-24,-0.5383327
2024-04-23,-0.5995757
2024-04-22,-0.3085685
2024-04-21,-0.523111
2024-04-20,-0.71014035
2024-04-19,-0.5979653
2024-04-18,-0.54495984
2024-04-17,-0.67133677
2024-04-16,-0.89782107
2024-04-15,-0.22929172
2024-04-14,-0.6996354
2024-04-13,-0.6040055
2024-04-12,-0.7530389
2024-04-11,-0.29264733
2024-04-10,-0.7752843
2024-04-09,-0.6049502
2024-04-08,-0.6234923
2024-04-07,-0.5877167
2024-04-06,-0.8882675
2024-04-05,-0.83073646
2024-04-04,-0.62280333
2024-04-03,-0.27271223
2024-04-02,-0.5313941
2024-04-01,-0.4041168
2024-03-31,-0.86769235
2024-03-30,-0.5824335
2024-03-29,-0.7142631
2024-03-28,0.23633435
2024-03-27,-0.6831641
2024-03-26,-0.74202955
2024-03-25,-0.42562622
2024-03-24,-0.9613861
2024-03-23,-0.58659667
2024-03-22,0.03359748
2024-03-21,0.5363188
2024-03-20,-0.4113694
2024-03-19,-0.68806845
2024-03-18,-0.70346165
2024-03-17,-0.49898344
2024-03-16,-0.9234594
2024-03-15,-0.68690336
2024-03-14,-0.65974414
2024-03-13,-0.5890618
2024-03-12,-0.68240684
2024-03-11,-0.15107937
2024-03-10,-0.8718632
2024-03-09,-0.9211748
2024-03-08,-0.54749924
2024-03-07,-0.6726411
2024-03-06,0.00982821
2024-03-05,-0.2229155
2024-03-04,-0.31584093
2024-03-03,-0.8001593
2024-03-02,-0.24227925
2024-03-01,-0.2960782
2024-02-29,-0.69857365
2024-02-28,-0.64245164
2024-02-27,0.19515228
2024-02-26,-0.8324469
2024-02-25,-0.4516756
2024-02-24,-0.49921077
2024-02-23,-0.4535903
2024-02-22,-0.58701646
2024-02-21,-0.6945485
2024-02-20,-0.5870677
2024-02-19,-0.57677925
2024-02-18,-0.4172446
2024-02-17,-0.027028661
2024-02-16,-0.70235074
2024-02-15,-0.90262616
2024-02-14,-0.69812405
2024-02-13,-0.6120136
2024-02-12,-0.9766396
2024-02-11,-0.03515638
2024-02-10,-0.39552313
2024-02-09,-0.48268557
2024-02-08,-0.44255954
2024-02-07,-0.7309871
2024-02-06,-0.289995
2024-02-05,-0.67673266
2024-02-04,-0.43218106
2024-02-03,-0.49903464
2024-02-02,-0.69569623
2024-02-01,-0.40593633
2024-01-31,0.13255338
2024-01-30,-0.59617037
2024-01-29,-0.8257653
2024-01-28,-0.99915487
2024-01-27,-0.779755
2024-01-26,-0.17942946
2024-01-25,-0.6070867
2024-01-24,-0.42798048
2024-01-23,-0.897202
2024-01-22,-0.66452605
2024-01-21,-0.90403974
2024-01-20,-0.63470936
2024-01-19,-0.6981583
2024-01-18,-0.59411067
2024-01-17,-0.68478256
2024-01-16,-0.28859037
2024-01-15,-0.3973885
2024-01-14,-0.8430607
2024-01-13,-0.6998397
2024-01-12,-0.3510493
2024-01-11,-0.7949611
2024-01-10,-0.45911115
2024-01-09,-0.6903825
2024-01-08,-0.99968135
2024-01-07,-0.91401595
2024-01-06,-0.46372277
2024-01-05,-0.49707502
2024-01-04,-0.6642972
2024-01-03,-0.37554598
2024-01-02,0.0072164536
2024-01-01,-0.573794
2023-12-31,-0.09014617
2023-12-30,-0.6656964
2023-12-29,-0.8643795
2023-12-28,-0.1943076
2023-12-27,-0.34400555
2023-12-26,-0.53750074
2023-12-25,-0.8771149
2023-12-24,-0.9042857
2023-12-23,-0.8780427
2023-12-22,-0.22478549
2023-12-21,0.02117961
2023-12-20,-0.7209379
2023-12-19,-0.3001873
2023-12-18,0.31122863
2023-12-17,-0.8395608
2023-12-16,-0.22999915
2023-12-15,-0.6733588
2023-12-14,-0.028562034
2023-12-13,-0.4022622
2023-12-12,-0.58500844
2023-12-11,-0.7648964
2023-12-10,-0.42435598
2023-12-09,-0.70394176
2023-12-08,-0.78677255
2023-12-07,-0.5638547
2023-12-06,-0.36603487
2023-12-05,-0.716305
2023-12-04,-0.33662972
2023-12-03,-0.99887305
2023-12-02,-0.52552915
2023-12-01,-0.7224365
2023-11-30,-0.8998758
2023-11-29,-0.79956305
2023-11-28,-0.9070538
2023-11-27,-0.7055112
2023-11-26,-0.83248776
2023-11-25,-0.7794348
2023-11-24,-0.5991967
2023-11-23,-0.6346366
2023-11-22,-0.8528911
2023-11-21,-0.7939258
2023-11-20,-0.77481484
2023-11-19,-0.40087414
2023-11-18,-0.68726134
2023-11-17,-0.7504275
2023-11-16,-0.7978374
2023-11-15,-0.49734586
2023-11-14,-0.8958524
2023-11-13,-0.64141977
2023-11-12,-0.42547518
2023-11-11,-0.81183547
2023-11-10,-0.98883927
2023-11-09,-0.69976026
2023-11-08,-0.63929385
2023-11-07,-0.38252333
2023-11-06,-0.69119364
2023-11-05,-0.7014278
2023-11-04,-0.5518571
2023-11-03,-0.04175995
2023-11-02,-0.4019835
2023-11-01,-0.62977916
2023-10-31,-0.6682571
2023-10-30,-0.37123019
2023-10-29,-0.7615693
2023-10-28,-0.5694957
2023-10-27,-0.092007324
2023-10-26,-0.31867284
2023-10-25,-0.60455024
2023-10-24,-0.88680327
2023-10-23,-0.62059206
2023-10-22,-0.93027353
2023-10-21,-0.45106855
2023-10-20,0.18190701
2023-10-19,-0.58056307
2023-10-18,-0.09660183
2023-10-17,-0.8182993
2023-10-16,-0.5179788
2023-10-15,-0.9741815
2023-10-14,-0.5824829
2023-10-13,-0.80686015
2023-10-12,-0.63142204
2023-10-11,-0.21114567
2023-10-10,-0.16846296
2023-10-09,-0.83199614
2023-10-08,-0.19019246
2023-10-07,-0.5136874
2023-10-06,-0.6864592
2023-10-05,-0.9975793
2023-10-04,-0.646951
2023-10-03,-0.75035644
2023-10-02,-0.6329855
2023-10-01,-0.30131108
2023-09-30,-0.67921144
2023-09-29,-0.54110396
2023-09-28,-0.40144563
2023-09-27,-0.77173924
2023-09-26,-0.5291516
2023-09-25,-0.9981574
2023-09-24,-0.5931157
2023-09-23,-0.9790739
2023-09-22,-0.78208363
2023-09-21,-0.68127817
2023-09-20,-0.40177625
2023-09-19,-0.5378623
2023-09-18,-0.72032374
2023-09-17,-0.7529319
2023-09-16,-0.20780674
2023-09-15,-0.98974264
2023-09-14,-0.76389647
2023-09-13,-0.77761936
2023-09-12,-0.6991639
2023-09-11,-0.9004628
2023-09-10,-0.5525364
2023-09-09,-0.9010258
2023-09-08,-0.97998524
2023-09-07,-0.1962075
2023-09-06,-0.68838567
2023-09-05,-0.88273716
2023-09-04,-0.5487016
2023-09-03,-0.92097056
2023-09-02,-0.8050796
2023-09-01,-0.5349914
2023-08-31,-0.6672307
2023-08-30,-0.97100717
2023-08-29,-0.7993884
2023-08-28,-0.770907
2023-08-27,-0.58204246
2023-08-26,-0.38752615
2023-08-25,-0.8108026
2023-08-24,-0.52854544
2023-08-23,-0.5000802
2023-08-22,-0.72783875
2023-08-21,-0.7839448
2023-08-20,-0.6945688
2023-08-19,-0.70389575
2023-08-18,-0.36979097
2023-08-17,-0.24886894
2023-08-16,-0.94417113
2023-08-15,-0.8284906
2023-08-14,-0.56106883
2023-08-13,-0.6157821
2023-08-12,-0.67259884
2023-08-11,-0.70004916
2023-08-10,-0.39293987
2023-08-09,-0.6865684
2023-08-08,-0.691876
2023-08-07,-0.42984325
2023-08-06,-0.5627484
2023-08-05,-0.78104323
2023-08-04,-0.33152327
2023-08-03,-0.59845173
2023-08-02,-0.39500803
2023-08-01,-0.44197392
2023-07-31,-0.78178966
2023-07-30,-0.76284677
2023-07-29,-0.4020234
2023-07-28,-0.748455
2023-07-27,-0.08183615
2023-07-26,-0.79227597
2023-07-25,-0.4660669
2023-07-24,-0.8949696
2023-07-23,-0.90799075
2023-07-22,-0.58619183
2023-07-21,-0.73161256
2023-07-20,-0.4029544
2023-07-19,-0.7521459
2023-07-18,-0.71114355
2023-07-17,-0.77393806
2023-07-16,-0.9950442
2023-07-15,-0.34167486
2023-07-14,-0.9569848
2023-07-13,-0.6975385
2023-07-12,-0.7828119
2023-07-11,-0.6151592
2023-07-10,-0.60025513
2023-07-09,-0.9489784
2023-07-08,-0.23259158
2023-07-07,-0.96950734
2023-07-06,-0.79929096
2023-07-05,-0.58207357
2023-07-04,-0.7976116
2023-07-03,-0.45024997
2023-07-02,-0.6754933
2023-07-01,-0.21486495
2023-06-30,-0.64592564
2023-06-29,-0.7998026
2023-06-28,-0.5740109
2023-06-27,-0.23884948
2023-06-26,-0.612828
2023-06-25,-0.45369202
2023-06-24,-0.30097097
2023-06-23,-0.6469387
2023-06-22,-0.67168707
2023-06-21,-0.6387752
2023-06-20,-0.60137135
2023-06-19,-0.8642456
2023-06-18,-0.73501664
2023-06-17,-0.47629404
2023-06-16,-0.5997973
2023-06-15,-0.7982241
2023-06-14,-0.14659056
2023-06-13,-0.5127029
2023-06-12,-0.42995566
2023-06-11,0.022495145
2023-06-10,-0.5920521
2023-06-09,-0.15062064
2023-06-08,-0.6900734
2023-06-07,-0.5353383
2023-06-06,-0.5944618
2023-06-05,-0.72532594
2023-06-04,-0.7987921
2023-06-03,-0.83552873
2023-06-02,-0.62140363
2023-06-01,-0.5951871
2023-05-31,-0.59947455
2023-05-30,-0.9893595
